"archivo","ubicacion","codigo_postal","localidad","telefono_tienda","fecha","hora","op","factura_simplificada","importe_total","N.C","AID","AUT","ARC","tipos_iva"
"20241203 Mercadona 42,44.pdf","C/ QUART 120","46008","VALENCIA","963824500","03/12/2024","14:50","3935778","2502-015-156925","42,44","098101017","A0000000041010","242685","00","2%, 10%"
"20241204 Mercadona 23,76 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","04/12/2024","09:34","4132106","4523-015-512841","23,76","036426237","A0000000041010","343753","00","2%, 10%, 21%"
"20241209 Mercadona 35,61 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","09/12/2024","11:59","3458598","2448-022-443803","35,61","098101330","A0000000041010","948388","00","2%, 5%, 10%"
"20241209 Mercadona 37,26 Ôé¼.pdf","C/ QUART 120","46008","VALENCIA","963824500","09/12/2024","14:05","3646731","2502-010-641909","37,26","098101017","A0000000031010","754101","00","2%, 10%, 21%"
"20241209 Mercadona 54,34.pdf","C/ QUART 120","46008","VALENCIA","963824500","09/12/2024","13:31","1471877","2502-015-159203","54,34","098101017","A0000000041010","865264","00","2%, 5%, 10%"
"20241210 Mercadona 33,48 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","10/12/2024","19:05","1272722","4523-021-555014","33,48","036426237","A0000000041010","052953","00","2%, 10%, 21%"
"20241211 Mercadona 11,84.pdf","C/ QUART 120","46008","VALENCIA","963824500","11/12/2024","20:23","477060","2502-015-160811","11,84","098101017","A0000000041010","388599","00","2%, 10%"
"20241211 Mercadona 76,15 Ôé¼.pdf","C/ MANUEL CANDELA 16","46021","VALENCIA","961624385","11/12/2024","14:01","4106531","4583-010-314084","76,15","034903138","A0000000041010","495159","00","2%, 10%, 21%"
"20241213 Mercadona 46,08.pdf","C/ QUART 120","46008","VALENCIA","963824500","13/12/2024","19:59","3646731","2502-015-162083","46,08","098101017","A0000000041010","760488","00","2%, 10%"
"20241214 Mercadona 24,17.pdf","C/ QUART 120","46008","VALENCIA","963824500","14/12/2024","13:25","3935778","2502-014-148778","24,17","098101017","A0000000041010","532910","00","2%, 10%, 21%"
"20241214 Mercadona 38,68 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","14/12/2024","15:41","401335","2448-022-446083","38,68","098101330","A0000000041010","459787","00","2%, 10%, 21%"
"20241217 Mercadona 20,28 Ôé¼.pdf","C/ QUART 120","46008","VALENCIA","963824500","17/12/2024","20:51","547888","2502-010-646868","20,28","098101017","A0000000031010","810152","00","2%, 10%"
"20241217 Mercadona 30,75 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","17/12/2024","20:05","481195","4523-015-517057","30,75","036426237","A0000000041010","050453","00","2%, 5%, 10%, 21%"
"20241220 Mercadona 38,09.pdf","C/ QUART 120","46008","VALENCIA","963824500","20/12/2024","19:59","4086401","2502-014-150569","38,09","098101017","A0000000041010","579587","00","2%, 10%"
"20241220 Mercadona 8,61 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","20/12/2024","11:35","321080","4523-019-111192","8,61","036426237","A0000000041010","345753","00","2%, 21%"
"20241221 Mercadona 26,27 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","21/12/2024","14:38","3737085","2448-021-303874","26,27","098101330","A0000000041010","810829","00","2%, 5%, 10%, 21%"
"20241221 Mercadona 40,53.pdf","C/ QUART 120","46008","VALENCIA","963824500","21/12/2024","13:02","4130302","2502-012-493943","40,53","098101017","A0000000041010","957570","00","2%, 5%, 10%"
"20241224 Mercadona 3,08 Ôé¼.pdf","C/ MARÍA VILLANGÓMEZ 4","07840","SANTA EULÀRIA DES RIU","871901830","24/12/2024","14:52","4133514","4301-010-699320","3,08","049044936","A0000000041010","450089","00","10%"
"20241224 Mercadona 80,53 Ôé¼.pdf","C/ VALENCIA S/N","03178","BENIJOFAR","966713008","24/12/2024","11:23","635448","3095-018-060669","80,53","047072319","A0000000041010","180613","00","2%, 4%, 5%, 10%"
"20241226 Mercadona 0,77 Ôé¼.pdf","CTRA. EIVISSA A S. JOSEP S/N","07830","SANT JOSEP DE SA TALAIA","871901220","26/12/2024","17:08","3908124","3984-017-918606","0,77","047439757","A0000000041010","320898","00","10%"
"20241226 Mercadona 55,35 Ôé¼.pdf","C/ ELVIRA BOSCH S/N","46230","ALGINET","961349976","26/12/2024","11:18","3866027","4683-016-099539","55,35","038399853","A0000000031010","555924","00","2%, 4%, 10%, 21%"
"20241227 Mercadona 0,43 Ôé¼.pdf","C/ SAN VICENTE MÁRTIR 79","46007","VALENCIA","963520086","27/12/2024","12:30","1735745","2447-010-903417","0,43","098101082","A0000000041010","448740","00","10%"
"20241227 Mercadona 32,26 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","27/12/2024","11:47","4111866","3075-011-967708","32,26","077763746","A0000000041010","840031","00","2%, 10%"
"20241228 Mercadona 30,94 Ôé¼.pdf","C/ ELVIRA BOSCH S/N","46230","ALGINET","961349976","28/12/2024","14:35","951797","4683-018-027537","30,94","038399853","A0000000031010","710713","00","2%, 5%, 10%, 21%"
"20241228 Mercadona 32,50 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","28/12/2024","17:23","3452317","2448-020-735656","32,50","098101330","A0000000041010","991931","00","2%, 4%, 10%, 21%"
"20241230 Mercadona 16,15.pdf","C/ QUART 120","46008","VALENCIA","963824500","30/12/2024","13:35","118943","2502-011-458136","16,15","098101017","A0000000041010","502676","00","2%, 10%"
"20241230 Mercadona 18,79 Ôé¼.pdf","C/ ELVIRA BOSCH S/N","46230","ALGINET","961349976","30/12/2024","21:16","4069296","4683-010-177552","18,79","038399853","A0000000031010","787391","00","2%, 10%, 21%"
"20241230 Mercadona 55,58.pdf","C/ QUART 120","46008","VALENCIA","963824500","30/12/2024","21:24","3935778","2502-014-152731","55,58","098101017","A0000000041010","675572","00","2%, 4%, 10%, 21%"
"20241231 Mercadona 34,14.pdf","C/ QUART 120","46008","VALENCIA","963824500","31/12/2024","15:58","461428","2502-012-496526","34,14","098101017","A0000000041010","484969","00","2%, 4%, 5%, 10%, 21%"
"20250102 Mercadona 37,00.pdf","C/ QUART 120","46008","VALENCIA","963824500","02/01/2025","12:33","477060","2502-022-944384","37,00","098101017","A0000000041010","986535","00","4%, 10%, 21%"
"20250104 Mercadona 22,86 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","04/01/2025","14:37","677897","2448-027-217998","22,86","098101330","A0000000041010","816744","00","4%, 10%, 21%"
"20250107 Mercadona 48,63 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","07/01/2025","15:27","996472","4523-021-568965","48,63","036426237","A0000000041010","270553","00","4%, 10%, 21%"
"20250107 Mercadona 72,26 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","07/01/2025","18:48","675940","3075-017-197666","72,26","077763746","A0000000041010","487215","00","4%, 10%, 21%"
"20250108 Mercadona 28,20.pdf","C/ QUART 120","46008","VALENCIA","963824500","08/01/2025","20:39","1285779","2502-012-498109","28,20","098101017","A0000000041010","571386","00","4%, 10%"
"20250108 Mercadona 34,55 Ôé¼.pdf","C/ QUART 120","46008","VALENCIA","963824500","08/01/2025","20:56","1116423","2502-010-657010","34,55","098101017","A0000000031010","460252","00","4%, 10%, 21%"
"20250110 Mercadona 13,89 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","10/01/2025","21:26","4137640","4523-016-364406","13,89","036426237","A0000000041010","261953","00","4%, 10%, 21%"
"20250110 Mercadona 87,17.pdf","C/ QUART 120","46008","VALENCIA","963824500","10/01/2025","19:47","936518","2502-023-273048","87,17","098101017","A0000000041010","248084","00","4%, 10%"
"20250111 Mercadona 121,49 Ôé¼.pdf","C/ REYES CATÓLICOS 18","46450","BENIFAIO","961794334","11/01/2025","11:21","3941091","2660-025-384503","121,49","098102650","A0000000031010","280099","00","4%, 10%, 21%"
"20250111 Mercadona 35,38 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","11/01/2025","15:27","3876752","2448-020-741966","35,38","098101330","A0000000041010","352263","00","4%, 10%, 21%"
"20250113 Mercadona 25,42.pdf","C/ QUART 120","46008","VALENCIA","963824500","13/01/2025","20:44","3260928","2502-014-155576","25,42","098101017","A0000000041010","839400","00","4%, 10%"
"20250115 Mercadona 28,76 Ôé¼.pdf","AVDA. VALLE DE LA BALLESTERA 58","46015","VALENCIA","961623567","15/01/2025","17:48","112684","4756-010-019310","28,76","051623551","A0000000041010","114920","00","4%, 10%, 21%"
"20250118 Mercadona 45,09.pdf","C/ QUART 120","46008","VALENCIA","963824500","18/01/2025","12:36","2899700","2502-022-953285","45,09","098101017","A0000000041010","588934","00","4%, 10%, 21%"
"20250118 Mercadona 55,52.pdf","C/ QUART 120","46008","VALENCIA","963824500","18/01/2025","13:21","1116423","2502-013-352484","55,52","098101017","A0000000041010","315900","00","4%, 10%"
"20250121 Mercadona 3,90 Ôé¼.pdf","C/ DEL COMERÇ (POL.IND. ALCODAR) 11","46701","GANDIA","962865711","21/01/2025","15:06","973214","2610-014-648930","3,90","063248033","A0000000031010","989358","00","10%"
"20250124 Mercadona 33,51 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","24/01/2025","20:55","3101252","3075-015-490245","33,51","077763746","A0000000041010","919892","00","4%, 10%"
"20250125 Mercadona 12,56 Ôé¼.pdf","C/ REYES CATÓLICOS 18","46450","BENIFAIO","961794334","25/01/2025","15:34","1172149","2660-022-316122","12,56","098102650","A0000000031010","485496","00","4%, 10%, 21%"
"20250125 Mercadona 43,69 Ôé¼.pdf","C/ ELVIRA BOSCH S/N","46230","ALGINET","961349976","25/01/2025","19:13","3866027","4683-010-189087","43,69","038399853","A0000000031010","551018","00","4%, 10%, 21%"
"20250125 Mercadona 47,08.pdf","C/ QUART 120","46008","VALENCIA","963824500","25/01/2025","12:21","1471877","2502-015-182552","47,08","098101017","A0000000041010","460421","00","4%, 10%"
"20250125 Mercadona 50,72 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","25/01/2025","15:25","1336203","2448-025-220257","50,72","098101330","A0000000041010","752405","00","4%, 10%, 21%"
"20250125 Mercadona 6,27 Ôé¼.pdf","C/ VALENCIA S/N","03178","BENIJOFAR","966713008","25/01/2025","18:19","766250","3095-015-378024","6,27","047072319","A0000000041010","946784","00","4%, 21%"
"20250127 Mercadona 25,07.pdf","C/ QUART 120","46008","VALENCIA","963824500","27/01/2025","19:49","375530","2502-010-666589","25,07","098101017","A0000000041010","166262","00","4%, 10%"
"20250128 Mercadona 36,84 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","28/01/2025","17:06","1335279","4523-015-530056","36,84","036426237","A0000000041010","062653","00","4%, 10%, 21%"
"20250129 Mercadona 44,66.pdf","C/ QUART 120","46008","VALENCIA","963824500","29/01/2025","17:51","745899","2502-012-503065","44,66","098101017","A0000000041010","868365","00","4%, 10%"
"20250201 Mercadona 31,77 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","01/02/2025","16:54","429638","2448-022-461683","31,77","098101330","A0000000041010","229278","00","4%, 10%"
"20250201 Mercadona 50,64.pdf","C/ QUART 120","46008","VALENCIA","963824500","01/02/2025","13:34","543026","2502-014-159626","50,64","098101017","A0000000041010","684299","00","4%, 10%"
"20250203 Mercadona 57,13.pdf","C/ QUART 120","46008","VALENCIA","963824500","03/02/2025","19:50","1254066","2502-013-355689","57,13","098101017","A0000000041010","032396","00","4%, 10%"
"20250203 Mercadona 61,36 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","03/02/2025","16:39","1490907","4727-016-180936","61,36","097932743","A0000000041010","481890","00","4%, 10%, 21%"
"20250204 Mercadona 29,55.pdf","C/ QUART 120","46008","VALENCIA","963824500","04/02/2025","17:46","3826845","2502-010-671226","29,55","098101017","A0000000041010","997089","00","4%, 10%"
"20250205 Mercadona 16,94 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","05/02/2025","16:11","3452317","2448-021-317834","16,94","098101330","A0000000041010","663988","00","4%, 10%, 21%"
"20250206 Mercadona 20,10 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","06/02/2025","19:29","1110912","4727-017-043436","20,10","097932743","A0000000041010","034637","00","10%"
"20250207 Mercadona 56,63 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","07/02/2025","18:17","3835535","4727-010-287797","56,63","097932743","A0000000041010","715021","00","4%, 10%"
"20250208 Mercadona 18,90 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","08/02/2025","21:32","3835535","4727-010-288571","18,90","097932743","A0000000041010","017256","00","10%, 21%"
"20250208 Mercadona 3,07 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","08/02/2025","09:50","1007138","2448-020-758226","3,07","098101330","A0000000041010","809020","00","4%"
"20250208 Mercadona 32,43 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","08/02/2025","09:44","677897","2448-024-392901","32,43","098101330","A0000000041010","875265","00","4%, 10%, 21%"
"20250212 Mercadona 42,40 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","12/02/2025","18:51","1460790","4727-013-075709","42,40","097932743","A0000000041010","665158","00","4%, 10%, 21%"
"20250212 Mercadona 95,65.pdf","C/ QUART 120","46008","VALENCIA","963824500","12/02/2025","19:02","3906628","2502-023-284171","95,65","098101017","A0000000041010","775851","00","4%, 10%, 21%"
"20250213 Mercadona 15,35.pdf","C/ QUART 120","46008","VALENCIA","963824500","13/02/2025","21:11","1638153","2502-013-357665","15,35","098101017","A0000000041010","858518","00","4%, 10%"
"20250214 Mercadona 60,33 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","14/02/2025","18:30","1460790","4727-014-060239","60,33","097932743","A0000000041010","748697","00","4%, 10%, 21%"
"20250215 Mercadona 23,34.pdf","C/ QUART 120","46008","VALENCIA","963824500","15/02/2025","14:24","1116423","2502-011-463969","23,34","098101017","A0000000041010","242966","00","4%, 21%"
"20250215 Mercadona 40,55 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","15/02/2025","09:35","337601","2448-022-466547","40,55","098101330","A0000000041010","657038","00","4%, 10%, 21%"
"20250217 Mercadona 67,14 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","17/02/2025","17:54","1486188","4727-012-133661","67,14","097932743","A0000000041010","512495","00","4%, 10%, 21%"
"20250221 Mercadona 103,19 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","21/02/2025","12:51","1481337","4727-020-007267","103,19","097932743","A0000000041010","373131","00","4%, 10%, 21%"
"20250222 Mercadona 40,82 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","22/02/2025","09:34","429638","2448-021-323384","40,82","098101330","A0000000041010","065437","00","4%, 10%, 21%"
"20250222 Mercadona 63,00.pdf","C/ QUART 120","46008","VALENCIA","963824500","22/02/2025","15:20","461428","2502-010-682028","63,00","098101017","A0000000041010","423752","00","4%, 10%, 21%"
"20250224 Mercadona 70,02 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","24/02/2025","18:41","1484681","4727-011-037963","70,02","097932743","A0000000041010","568113","00","4%, 10%, 21%"
"20250224 Mercadona 75,48 Ôé¼.pdf","AVDA. VALLE DE LA BALLESTERA 58","46015","VALENCIA","961623567","24/02/2025","18:05","663234","4756-026-018197","75,48","051623551","A0000000041010","120646","00","4%, 10%, 21%"
"20250225 Mercadona 14,07 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","25/02/2025","14:58","407077","2448-020-768395","14,07","098101330","A0000000041010","303330","00","4%, 10%"
"20250226 Mercadona 40,46.pdf","C/ QUART 120","46008","VALENCIA","963824500","26/02/2025","19:34","543026","2502-012-509919","40,46","098101017","A0000000041010","257940","00","4%, 10%, 21%"
"20250226 Mercadona 8,68 Ôé¼.pdf","AVDA. VALLE DE LA BALLESTERA 58","46015","VALENCIA","961623567","26/02/2025","17:34","894597","4756-020-038613","8,68","051623551","A0000000041010","054341","00","4%, 10%, 21%"
"20250227 Mercadona 25,05 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","27/02/2025","18:33","055044","4727-010-298005","25,05","097932743","A0000000041010","695308","00","4%, 10%, 21%"
"20250228 Mercadona 40,41.pdf","C/ QUART 120","46008","VALENCIA","963824500","28/02/2025","20:16","3906628","2502-012-510381","40,41","098101017","A0000000041010","595833","00","4%, 10%"
"20250301 Mercadona 30,15.pdf","C/ QUART 120","46008","VALENCIA","963824500","01/03/2025","12:59","1001693","2502-021-173156","30,15","098101017","A0000000041010","767036","00","4%, 10%, 21%"
"20250301 Mercadona 35,10 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","01/03/2025","11:25","4016650","2448-021-325168","35,10","098101330","A0000000041010","165720","00","4%, 10%, 21%"
"20250303 Mercadona 105,91 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","03/03/2025","19:10","4111570","4727-010-299768","105,91","097932743","A0000000041010","658380","00","4%, 10%, 21%"
"20250303 Mercadona 72,60.pdf","C/ QUART 120","46008","VALENCIA","963824500","03/03/2025","19:52","1254066","2502-015-203638","72,60","098101017","A0000000041010","333500","00","4%, 10%, 21%"
"20250305 Mercadona 52,91 Ôé¼.pdf","AVDA. MEDINA AZAHARA 2","04620","VERA","950617434","05/03/2025","19:06","1474320","3402-013-240601","52,91","003777570","A0000000031010","497299","00","4%, 10%, 21%"
"20250306 Mercadona 19,57 Ôé¼.pdf","CARRERA MALILLA S/N","46026","VALENCIA","963345506","06/03/2025","20:27","1424137","2544-014-185328","19,57","098101132","A0000000031010","570422","00","4%, 10%, 21%"
"20250306 Mercadona 66,43 Ôé¼.pdf","AVDA. BLASCO IBÁÑEZ 95","46360","BUÑOL","961258338","06/03/2025","18:34","2901943","4727-010-301363","66,43","097932743","A0000000041010","674486","00","4%, 10%, 21%"
"20250308 Mercadona 19,85 Ôé¼.pdf","C/ MARIANO DE CAVIA 32","46014","VALENCIA","963788582","08/03/2025","13:24","526317","2658-020-449529","19,85","098101058","A0000000041010","049375","00","4%, 10%, 21%"
"20250308 Mercadona 20,80 Ôé¼.pdf","C/ JERÓNIMO MONSORIU 60","46022","VALENCIA","963309941","08/03/2025","20:33","929050","2689-014-382930","20,80","098102387","A0000000031010","739328","00","10%"
"20250308 Mercadona 25,50 Ôé¼.pdf","CARRERA MALILLA S/N","46026","VALENCIA","963345506","08/03/2025","18:55","3294423","2544-010-215667","25,50","098101132","A0000000031010","258151","00","4%, 10%"
"20250308 Mercadona 33,83 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","08/03/2025","11:30","655105","2448-020-774900","33,83","098101330","A0000000041010","253770","00","4%, 10%"
"20250308 Mercadona 51,19 Ôé¼.pdf","AVDA. MEDINA AZAHARA 2","04620","VERA","950617434","08/03/2025","13:29","1474320","3402-017-062158","51,19","003777570","A0000000031010","611983","00","4%, 10%, 21%"
"20250310 Mercadona 38,62 Ôé¼.pdf","AVDA. VALLE DE LA BALLESTERA 58","46015","VALENCIA","961623567","10/03/2025","17:59","3847020","4756-020-043415","38,62","051623551","A0000000041010","346222","00","4%, 10%"
"20250312 Mercadona 22,12 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","12/03/2025","15:53","3452317","2448-020-777181","22,12","098101330","A0000000041010","628447","00","4%, 10%"
"20250312 Mercadona 8,00 Ôé¼.pdf","CARRERA MALILLA S/N","46026","VALENCIA","963345506","12/03/2025","19:49","581526","2544-020-287174","8,00","098101132","A0000000031010","799041","00","4%, 10%"
"20250314 Mercadona 40,73 Ôé¼.pdf","AVDA. VALLE DE LA BALLESTERA 58","46015","VALENCIA","961623567","14/03/2025","17:04","1094104","4756-026-024041","40,73","051623551","A0000000041010","665240","00","4%, 10%"
"20250314 Mercadona 49,42 Ôé¼.pdf","CARRERA MALILLA S/N","46026","VALENCIA","963345506","14/03/2025","12:17","1424137","2544-011-962678","49,42","098101132","A0000000031010","372411","00","4%, 10%, 21%"
"20250315 Mercadona 20,12 Ôé¼.pdf","CARRERA MALILLA S/N","46026","VALENCIA","963345506","15/03/2025","12:07","1121725","2544-021-551657","20,12","098101132","A0000000031010","272201","00","4%, 10%, 21%"
"20250315 Mercadona 35,42 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","15/03/2025","16:14","655105","2448-020-779245","35,42","098101330","A0000000041010","099265","00","4%, 10%, 21%"
"20250315 Mercadona 41,84 Ôé¼.pdf","CARRERA MALILLA S/N","46026","VALENCIA","963345506","15/03/2025","10:08","939389","2544-013-087732","41,84","098101132","A0000000031010","080201","00","4%, 10%"
